50000,Paul,73,81,93,97
50001,Danielle,90,86,96,100
50002,Tina,81,97,95,96
50003,Tara,71,74,88,80
50004,Anthony,84,77,65,65
50005,Kelly,93,100,67,78
50006,Anthony,99,96,97,73
50007,George,95,95,82,63
50008,Stanley,94,68,94,85
50009,Audrey,98,69,88,71
50010,Gabrielle,65,60,97,94
50011,Clinton,80,61,100,65
50012,Patricia,94,59,69,67
50013,Pamela,66,94,86,100
50014,Laura,96,90,86,92
50015,Roger,94,50,78,64
50016,Vicki,92,64,93,91
50017,Maxwell,86,83,85,79
50018,Jonathan,92,87,92,99
50019,Angela,99,65,98,75
50020,Tim,100,90,72,98
50021,Kyle,57,55,78,94
50022,Shannon,89,72,68,72
50023,Sean,50,76,81,55
50024,Cassandra,87,91,90,88
50025,Patricia,92,86,87,81
50026,Jason,100,77,80,94
50027,Peter,64,75,93,79
50028,Jeffrey,79,65,99,71
50029,Carol,82,100,61,97
50030,Angie,88,69,87,100
50031,Cynthia,70,68,92,74
50032,Timothy,77,96,98,89
50033,Phyllis,99,84,84,78
50034,Lisa,90,93,91,80
50035,Kelly,65,70,78,98
50036,Ryan,99,94,87,71
50037,Michael,92,100,85,89
50038,Miguel,77,64,64,88
50039,Christopher,92,60,66,87
50040,Emily,85,97,64,90
50041,Jesus,65,55,66,50
50042,Lauren,93,94,92,77
50043,Pamela,97,99,85,96
50044,David,54,99,79,57
50045,Kenneth,88,53,50,58
50046,Elizabeth,71,85,93,68
50047,Billy,81,98,74,70
50048,Kimberly,80,78,86,80
50049,Sonia,100,89,90,93
50050,Christopher,76,72,96,65
50051,Sandra,99,81,73,70
50052,Luke,64,70,61,81
50053,Lindsay,90,96,86,61
50054,Jamie,85,100,92,68
50055,Jennifer,91,60,84,88
50056,Melissa,95,72,79,86
50057,David,94,78,73,97
50058,Jacob,94,89,64,96
50059,Casey,89,99,90,79
50060,Michelle,91,81,88,71
50061,Brittany,83,86,61,99
50062,Brian,98,65,53,64
50063,Veronica,83,97,65,88
50064,Eric,91,73,99,70
50065,Kristy,90,54,77,74
50066,Anthony,92,86,66,69
50067,Steven,64,64,73,76
50068,Henry,90,70,85,60
50069,Raymond,99,81,96,69
50070,Jill,89,66,93,81
50071,Kimberly,62,87,93,83
50072,Louis,61,70,69,64
50073,Michael,51,54,66,87
50074,Anna,85,100,64,68
50075,Andrea,99,90,96,92
50076,Jennifer,87,63,60,90
50077,Rhonda,75,91,80,93
50078,Chelsea,88,94,80,63
