30000,Paul,73,81,93,97
30001,Danielle,90,86,96,100
30002,Tina,81,97,95,96
30003,Tara,71,74,88,80
30004,Anthony,84,77,65,65
30005,Kelly,93,100,67,78
30006,Anthony,99,96,97,73
30007,George,95,95,82,63
30008,Stanley,94,68,94,85
30009,Audrey,98,69,88,71
30010,Gabrielle,65,60,97,94
30011,Clinton,80,61,100,65
30012,Patricia,94,59,69,67
30013,Pamela,66,94,86,100
30014,Laura,96,90,86,92
30015,Roger,94,50,78,64
30016,Vicki,92,64,93,91
30017,Maxwell,86,83,85,79
30018,Jonathan,92,87,92,99
30019,Angela,99,65,98,75
30020,Tim,100,90,72,98
30021,Kyle,57,55,78,94
30022,Shannon,89,72,68,72
30023,Sean,50,76,81,55
30024,Cassandra,87,91,90,88
30025,Patricia,92,86,87,81
30026,Jason,100,77,80,94
30027,Peter,64,75,93,79
30028,Jeffrey,79,65,99,71
30029,Carol,82,100,61,97
30030,Angie,88,69,87,100
30031,Cynthia,70,68,92,74
30032,Timothy,77,96,98,89
30033,Phyllis,99,84,84,78
30034,Lisa,90,93,91,80
30035,Kelly,65,70,78,98
30036,Ryan,99,94,87,71
30037,Michael,92,100,85,89
30038,Miguel,77,64,64,88
30039,Christopher,92,60,66,87
30040,Emily,85,97,64,90
30041,Jesus,65,55,66,50
30042,Lauren,93,94,92,77
30043,Pamela,97,99,85,96
30044,David,54,99,79,57
30045,Kenneth,88,53,50,58
30046,Elizabeth,71,85,93,68
30047,Billy,81,98,74,70
30048,Kimberly,80,78,86,80
30049,Sonia,100,89,90,93
30050,Christopher,76,72,96,65
30051,Sandra,99,81,73,70
30052,Luke,64,70,61,81
30053,Lindsay,90,96,86,61
30054,Jamie,85,100,92,68
30055,Jennifer,91,60,84,88
30056,Melissa,95,72,79,86
30057,David,94,78,73,97
30058,Jacob,94,89,64,96
30059,Casey,89,99,90,79
30060,Michelle,91,81,88,71
30061,Brittany,83,86,61,99
30062,Brian,98,65,53,64
30063,Veronica,83,97,65,88
30064,Eric,91,73,99,70
30065,Kristy,90,54,77,74
30066,Anthony,92,86,66,69
30067,Steven,64,64,73,76
30068,Henry,90,70,85,60
30069,Raymond,99,81,96,69
30070,Jill,89,66,93,81
30071,Kimberly,62,87,93,83
30072,Louis,61,70,69,64
30073,Michael,51,54,66,87
30074,Anna,85,100,64,68
30075,Andrea,99,90,96,92
30076,Jennifer,87,63,60,90
30077,Rhonda,75,91,80,93
30078,Chelsea,88,94,80,63
30079,Shawn,87,79,89,68
30080,Elizabeth,87,67,94,92
30081,Lisa,76,67,83,85
30082,Carol,60,80,61,63
30083,Charles,85,65,99,100
30084,James,73,67,70,71
30085,Dennis,85,71,69,80
30086,Jennifer,91,76,71,72
30087,Yvette,99,95,83,89
30088,Robert,93,96,68,87
30089,William,89,75,60,80
30090,Patrick,95,78,95,73
30091,James,68,82,95,63
30092,Robert,98,73,73,77
30093,Jacob,79,92,79,76
30094,Natalie,78,79,73,96
30095,Victoria,100,98,89,85
30096,Natasha,86,76,84,93
30097,Thomas,87,89,93,98
30098,Derrick,100,93,85,61
30099,Kimberly,85,89,94,69
30100,Rhonda,87,73,98,91
30101,Abigail,96,80,100,61
30102,James,76,87,64,74
30103,Stephen,90,80,63,94
30104,Emma,65,60,100,91
30105,Cynthia,98,97,62,89
30106,Erin,91,80,97,89
30107,Benjamin,86,81,83,81
30108,Alexandra,91,93,72,61
30109,Phillip,78,69,82,60
30110,Joshua,76,89,89,83
30111,Erin,82,54,85,57
30112,Charles,45,85,94,76
30113,Kelsey,92,75,65,97
30114,Robert,43,65,91,75
30115,Robert,96,66,69,65
30116,Alyssa,78,71,50,55
30117,Beth,68,96,64,70
30118,Andrew,93,73,94,65
30119,Crystal,55,93,67,74
30120,Jordan,66,90,83,80
30121,Antonio,98,92,91,99
30122,Jacob,94,94,94,89
30123,Wendy,96,100,96,91
30124,Jennifer,69,62,82,89
30125,Lisa,77,95,98,69
30126,Brian,89,67,86,87
30127,Mario,96,67,80,83
30128,Amanda,82,70,80,70
30129,Michael,99,97,64,90
30130,Amanda,96,73,90,85
30131,Chelsea,95,82,66,63
30132,Tina,90,63,69,80
30133,Cory,88,52,53,56
